Id;Team;IdActivity;IdEvent;IdLocation;IdStudent;MatchValue
76467;113;27;1069;60;1133;132
78394;73;24;1070;3;1154;1384
78479;43;5;1070;22;1150;0
78489;46;32;1070;62;1149;1986
78545;68;32;1070;62;1133;656
78562;21;18;1070;59;1136;0
79212;73;29;1071;4;1154;726
79264;70;3;1071;13;1170;0
79277;75;24;1071;3;1168;726
79306;43;24;1071;3;1150;1027
79318;46;49;1071;11;1149;0
79381;68;11;1071;1;1133;1398
79382;68;15;1071;1;1133;1398
79396;21;1;1071;23;1136;1027
79455;27;5;1071;22;1166;726
79621;73;49;1072;11;1154;679
79632;38;4;1072;2;1175;1225
79657;48;27;1072;8;1177;1911
79673;70;49;1072;11;1170;756
79684;75;3;1072;13;1168;0
79712;43;21;1072;60;1150;826
79722;46;4;1072;2;1149;1428
79790;68;18;1072;59;1133;826
79806;21;22;1072;2;1136;0
79818;17;32;1072;62;1176;679
79864;27;24;1072;3;1166;1120
80036;73;27;1073;8;1154;616
80049;38;18;1073;59;1175;1995
80072;48;1;1073;23;1177;1589
80089;70;27;1073;8;1170;728
80100;75;50;1073;5;1168;0
80128;43;49;1073;11;1150;728
80140;46;18;1073;59;1149;1085
80201;68;6;1073;58;1133;0
80214;21;16;1073;61;1136;1022
80226;17;50;1073;5;1176;0
80275;27;18;1073;59;1166;854
80418;84;32;1073;62;1179;728
80457;73;16;1074;61;1154;567
80468;38;1;1074;23;1175;931
80491;48;32;1074;62;1177;931
80498;52;49;1074;11;1183;0
80509;70;24;1074;3;1170;693
80520;75;6;1074;58;1168;0
80548;43;27;1074;8;1150;861
80558;46;50;1074;5;1149;0
80599;34;21;1074;60;1181;861
80604;40;29;1074;4;1182;693
80616;68;1;1074;23;1133;805
80622;19;22;1074;2;1184;0
80630;21;5;1074;22;1136;931
80644;17;11;1074;1;1176;1463
80645;17;15;1074;1;1176;1463
80693;27;22;1074;2;1166;0
80841;84;21;1074;60;1179;0
80868;40;5;1075;61;1192;1218
80874;15;14;1075;22;1184;0
80878;34;3;1075;13;1175;0
80886;3;32;1075;63;1136;1827
80890;68;22;1075;2;1198;0
80892;58;6;1075;58;1149;0
80893;58;6;1075;58;1195;0
80898;36;11;1075;8;1182;2310
80899;36;15;1075;8;1182;2310
80909;173;3;1075;13;1188;0
80918;17;6;1075;58;1189;0
80920;59;4;1075;2;1168;0
80934;27;49;1075;11;1166;0
80936;57;1;1075;62;1150;0
80937;57;1;1075;62;1194;0
80953;66;18;1075;1;1179;2135
80971;62;16;1075;23;1200;1218
80981;42;5;1075;61;1133;1344
80983;55;1;1075;62;1183;1218
80991;14;1;1075;62;1176;0
80994;65;21;1075;60;1199;1652
80996;64;18;1075;1;1196;903
81008;41;22;1075;2;1177;0
81014;67;21;1075;60;1154;980
81221;32;49;1075;11;1181;0
81224;63;11;1075;8;1170;980
81225;63;15;1075;8;1170;980
81253;40;14;1076;22;1192;0
81259;15;21;1076;60;1184;1330
81263;34;14;1076;22;1175;0
81271;3;27;1076;5;1136;609
81277;68;11;1076;8;1198;1876
81278;68;15;1076;8;1198;1876
